subject	relation	object	roles	year_start	year_end	explicit	sources	evidence
Henry Thomas Colebrooke	collaborated_with	William Carey		1804	1804	True	Windisch GSP	das Colebrooke angeregt, Carey herausgegeben hat, Serampore 1804. [...] Colebrooke ist mit der Vorrede zum Hitopadeśa daran beteiligt
Hermann Jacobi	collaborated_with	Peter Peterson		1899		True	Winternitz GIL 2	Ed. by P. Peterson und H. Jacobi, Bibl. Ind., 1899 ff.
Hermann Oldenberg	collaborated_with	Richard Pischel			1883	True	Winternitz GIL 2	Herausgegeben von H. Oldenberg und R. Pischel, London PTS 1883.
Hermann Oldenberg	collaborated_with	Thomas William Rhys Davids	co-translators			True	Winternitz GIL 2	noch einmal übersetzt von Rhys Davids und Oldenberg in SBE XIII, p. 1 ff.
Hermann Paul	collaborated_with	Wilhelm Braune	Mitherausgeber			True	Windisch GSP	in den ersten Bänden der von Hermann Paul und Wilhelm Braune herausgegebenen "Beiträge zur geschichte der deutschen sprache und literatur"
Horace Hayman Wilson	collaborated_with	Theodor Goldstücker	3. Auflage des Wörterbuchs			True	Windisch GSP	In London übertrug ihm Wilson die 3. Auflage seines Wörterbuchs.
J. S. Burt	collaborated_with	Thomas Seymour Burt		1834	1834	True	Windisch GSP	von Lieut. T. S. Burt, Engineers", der von seinem Bruder Lieut. Burt unterstützt wurde
James Burgess	collaborated_with	James Fergusson				True	Windisch GSP	das Werk von J. Fergusson und J. Burgess "The Cave Temples of India", London 1879
James Prinsep	collaborated_with	Kamalakanta Vidyalankara	pandit; pandit assistant	1837	1837	True	Windisch GSP	In philologischer Beziehung unterstützte ihn sein Pandit Kamalākānta, der ihm z. B. den Inhalt der berühmten Sanskrit-Inschrift von Junagarh in Gujerat zugänglich machte
James Prinsep	collaborated_with	Ratnapala				True	Windisch GSP	Prinsep wurde im Verständnis der Sprache von "Ratna Paula the Pálí scholar" unterstützt (JASB. VI 469).
James Robert Ballantyne	collaborated_with	Pramadādāsa Mitra	translators	1851	1875	True	Winternitz GIL 3	Herausgegeben von E. Röer mit einer englischen Übersetzung von J. R. Ballantyne und Pramadā Dāsa Mitra, Bibl. Ind. 1851—1875.
James Sutherland Cotton	collaborated_with	William Wilson Hunter				True	Windisch GSP	Editor des Gazetteer für England war J. S. Cotton, der schon in den früheren Ausgaben mit Hunter zusammengearbeitet hatte.
Jean Brengues	collaborated_with	Johannes Hertel		1908	1908	True	Winternitz GIL 3	über das laotische Mulla Tantai s. J. Brengues und J. Hertel in JA 1908, Nov.-Déc., 357 ff.
Johann Christoph Adelung	collaborated_with	Johann Severin Vater	completed his work after his death			True	Windisch GSP	allgemeinen Sprachenkunde, die nach dessen Tode von Joh. Severin Vater zu Ende geführt wurde.
Johannes Hertel	collaborated_with	Richard Schmidt		1905	1907	True	Winternitz GIL 2	herausgegeben und übersetzt von R. Schmidt und J. Hertel in ZDMG 59, 1905 und 61, 1907.
John Muir	collaborated_with	Theodor Aufrecht	Hilfe für das Verständnis der vedischen Texte		1863	True	Windisch GSP	Noch mehr erkennt Muir die Hilfe Aufrechts an in der Preface des schon 1863 erschienenen Vol. IV, für das Verständnis der vedischen Texte
John Muir	collaborated_with	Theodor Goldstücker	Verbesserungen			True	Windisch GSP	Im Appendix teilt Muir Verbesserungen von Goldstücker, Cowell und Aufrecht mit.
Joseph Estlin Carpenter	collaborated_with	Thomas William Rhys Davids	co-editors	1886	1911	True	Winternitz GIL 2	Herausgegeben von T. W. Rhys Davids und J. E. Carpenter, London PTS, vol. I, 1890, vol. II, 1903, vol. III, 1911.
Joshua Marshman	collaborated_with	William Carey		1806	1810	True	Windisch GSP	zusammen mit Joshua Marshman das Rāmāyaṇa herauszugeben begonnen, Serampore 1806—1810
K. G. Sankara Aiyar	collaborated_with	Ramesh Chandra Majumdar			1918	True	Winternitz GIL 3	R. C. Majumdar und K. G. Sankara Aiyar, Ind. Ant. 47, 1918, 223 f.
K. R. Māḍgāvkar	collaborated_with	Kashinath Pandurang Parab		1898	1898	True	Winternitz GIL 3	mit Kommentar des Jagaddhara von K. P. Parab und K. R. Māḍgāvkar, Bombay 1898, 2nd Ed. 1905, NSP.
Karl Friedrich Geldner	collaborated_with	Richard Pischel		1889	1901	True	Windisch GSP; Winternitz GIL 1	"Vedischen Studien" von Geldner und Pischel
Kashinath Pandurang Parab	collaborated_with	Narayan Balkrishna Godbole		1883	1891	True	Winternitz GIL 3	von N. B. Godabole und K. P. Parab, 3d Ed., Bombay 1891, NSP.
Kashinath Pandurang Parab	collaborated_with	S. Rangachariar			1901	True	Winternitz GIL 3	mit dem Kommentar des Vīrarāghava von T. R. Ratnam Aiyar, S. Rangachariar und K. P. Parab, 2nd Ed., Bombay 1901 NSP.
Kashinath Pandurang Parab	collaborated_with	T. R. Ratnam Aiyar			1901	True	Winternitz GIL 3	mit dem Kommentar des Vīrarāghava von T. R. Ratnam Aiyar, S. Rangachariar und K. P. Parab, 2nd Ed., Bombay 1901 NSP.
Lattara Śarma	collaborated_with	Sudhakara Dvivedi		1883	1883	True	Winternitz GIL 3	Mit Kommentar herausgegeben von S. Dvivedī und Lattara Śarma, Benares 1883.
Louis Corneille Wijesinha	collaborated_with	Robert Caesar Childers			1871	True	Winternitz GIL 2	Über die Geschichte der Aṭṭhakathās handeln L. C. Vijasinha und R. C. Childers, JRAS V, 2, 1871, p. 289 ff.
Louis Finot	collaborated_with	Édouard Huber			1913	True	Winternitz GIL 2	herausgegeben von L. Finot und mit der chinesischen Version des Kumārajīva ins Französische übersetzt von É. Huber in JA, s. 11, t. II, 1913, 465 ff.
Louis Leupol	collaborated_with	Émile-Louis Burnouf				True	Windisch GSP	In Nancy taten sich die Philologen Émile Burnouf und L. Leupol zusammen, um die Erlernung des Sanskrit durch praktische Bücher zu erleichtern.
Louis de La Vallée Poussin	collaborated_with	Robert Gauthiot			1912	True	Winternitz GIL 2	Ein von M. A. Stein aus Zentralasien mitgebrachtes Fragment einer Nīlakaṇṭhadhāraṇī in Brāhmī- und in soghdischer Schrift ist herausgegeben von La Vallée Poussin und R. Gauthiot, JRAS 1912, 629 ff.
M. Rangacharya	collaborated_with	S. Kuppuswami Sastri		1921	1921	True	Winternitz GIL 3	ed. by Ranga Acharya and by S. Kuppuswami Sastri, Madras 1921
Magdalene Geiger	collaborated_with	Wilhelm Geiger			1918	True	Winternitz GIL 2	Die zweite Dekade der Rasavāhinī ist herausgegeben und übersetzt von Magdalene und Wilhelm Geiger, SBayA 1918, 5. Abh.
Martin Seydel	collaborated_with	Rudolf Seydel	editor/contributor of supplementary notes		1897	True	Winternitz GIL 2	Die Buddha-Legende und das Leben Jesu nach den Evangelien, erneute Prüfung ihres gegenseitigen Verhältnisses, 2. Aufl. mit ergänzenden Anmerkungen von Martin Seydel, Weimar 1897.
Maurice Bloomfield	collaborated_with	Richard von Garbe		1901	1901	True	Windisch GSP; Winternitz GIL 3	indem M. Bloomfield und R. Garbe herausgaben "The Kashmirian Atharva-Veda (school of the Paippalādas)...", 3 Voll., Stuttgart 1901.
Moritz Abraham Stern	collaborated_with	Theodor Benfey			1836	True	Windisch GSP	seine im Verein mit Stern herausgegebene Schrift "Über die Monatsnamen einiger alten Völker"
Moriz Winternitz	collaborated_with	Otto Stein				True	Winternitz GIL 3	Herr Privatdozent Dr. Otto Stein hat mir beim Lesen der Korrekturen und bei der Herstellung des Index auch für diesen Band wertvolle Hilfe geleistet
Mutu Coomaraswamy	collaborated_with	Richard Morris		1884	1884	True	Winternitz GIL 2	Herausgegeben von Rhys Davids im Verein mit Coomara Svamy und R. Morris im JPTS 1884, p. 109 ff.
Mutu Coomaraswamy	collaborated_with	Thomas William Rhys Davids		1884	1884	True	Winternitz GIL 2	Herausgegeben von Rhys Davids im Verein mit Coomara Svamy und R. Morris im JPTS 1884, p. 109 ff.
Otto Strauss	collaborated_with	Paul Deussen		1906	1906	True	Windisch GSP; Winternitz GIL 1	von Deussen im Verein mit Strauss (1906)
Otto von Böhtlingk	collaborated_with	Rudolf von Roth		1852	1875	True	Windisch GSP; Winternitz GIL 1	das Sanskrit-Wörterbuch von Böhtlingk und Roth benutzt hat
Paul Goldschmidt	collaborated_with	Siegfried Goldschmidt		1880	1884	True	Windisch GSP; Winternitz GIL 3	In Wirklichkeit hat ihn erst später musterhaft herausgegeben Siegfried Goldschmidt, unterstützt von Paul Goldschmidt
Peter Peterson	collaborated_with	Ramkrishna Gopal Bhandarkar				True	Windisch GSP	Bhandarkar... der damals im Verein mit Peterson Sanskritmanuskripte gesammelt und beschrieben hatte
Richard Morris	collaborated_with	Thomas William Rhys Davids		1884	1884	True	Winternitz GIL 2	Herausgegeben von Rhys Davids im Verein mit Coomara Svamy und R. Morris im JPTS 1884, p. 109 ff.
Rudolf von Roth	collaborated_with	William Dwight Whitney	Herausgeber; co-editors	1856	1856	True	Windisch GSP; Winternitz GIL 1	Roth und Whitneys Atharvaveda, Berlin 1856.
S. Krishnaswami Aiyangar	collaborated_with	Vincent Arthur Smith	contributed introduction	1911	1911	True	Winternitz GIL 3	S. Krishnaswami Aiyangar, Ancient India, London u. Madras 1911, S. 336 ff., dem V. A. Smith in der diesem Werk vorausgeschickten Einleitung p. XIII beistimmt
S. Rangachariar	collaborated_with	T. R. Ratnam Aiyar			1901	True	Winternitz GIL 3	mit dem Kommentar des Vīrarāghava von T. R. Ratnam Aiyar, S. Rangachariar und K. P. Parab, 2nd Ed., Bombay 1901 NSP.
S. Subrahmanya Sastri	collaborated_with	T. S. Kuppuswami Sastri		1902	1902	True	Winternitz GIL 2	Ed. by T. S. Kuppuswami Śāstrī and S. Subrahmanya Śāstrī, Madras 1902
Sylvain Lévi	collaborated_with	Theodor Stcherbatsky		1918	1918	True	Winternitz GIL 3	Sphuṭārthā, Abhidharmakośavyākhyā ed. S. Lévi und Th. Stcherbatsky, Bibliotheca Buddhica, XXI, 1918.
Sylvain Lévi	collaborated_with	Édouard Specht		1892	1892	True	Winternitz GIL 2	Ed. Specht et Sylvain Lévi, Deux traductions Chinoises du Milindapañho, OC IX London 1892, vol. I, 518 ff.
T. R. Ratnam Aiyar	collaborated_with	Vasudev Laxman Shastri Pansikar			1911	True	Winternitz GIL 3	Mit dem Kommentar von Vīrarāghava herausgegeben von T. R. Ratnam Aiyar und V. L. Sh. Panasīkar, 4th Ed., Bombay 1911 NSP.
Vincent Arthur Smith	collaborated_with	William Hoey				True	Winternitz GIL 2	Buddhistische Sūtras in Sanskrit, auf Ziegeln geschrieben, fanden V. A. Smith und W. Hoey in den Ruinen von Gopālpūr
Wilhelm Pertsch	collaborated_with	William Dwight Whitney		1852		True	Windisch GSP	"Kshitīçavaṃçāvalīcharitam...", Leipzig 1852, Weber gewidmet, mit englischer Übersetzung, bei der ihm Whitney zur Seite stand.
William Dwight Whitney	collaborated_with	William Haskell				True	Windisch GSP	Mit Haskell zusammen veröffentlichte Whitney ebenda Proceed. S. XXXVII 'Statistics of External Vowel-Combination in the Rig- and Atharva-Vedas'.
Adalbert Bezzenberger	founded	Beiträge zur Kunde der indogermanischen Sprachen				True	Windisch GSP	seit 1906 vereinigt mit den von Adalbert Bezzenberger gegründeten "Beiträgen zur Kunde der indogermanischen Sprachen".
Adalbert Kuhn	founded	Beiträge zur Vergleichenden Sprachforschung auf dem Gebiete der Arischen, Celtischen und Slawischen Sprachen		1858		True	Windisch GSP	die er 1858 durch die von ihm im Bunde mit Schleicher gegründeten "Beiträge zur Vergleichenden Sprachforschung...
Adalbert Kuhn	founded	Zeitschrift für vergleichende Sprachforschung		1852		True	Windisch GSP	Im Jahre 1852 erschien der erste Band der von Kuhn, anfangs im Verein mit Aufrecht, herausgegebenen "Zeitschrift für Vergleichende Sprachforschung...
Albert Hoefer	founded	Zeitschrift für die Wissenschaft der Sprache		1845		True	Windisch GSP	Er gründete 1845 die "Zeitschrift für die Wissenschaft der Sprache"
Albrecht Weber	founded	Indische Studien		1850		True	Windisch GSP	Schon zuvor hatte er die Zeitschrift für die Kunde des indischen Altertums "Indische Studien" gegründet, Erster Band Berlin 1850 bei Ferd. Dümmler
Andrzej Gawroński	founded	Rocznik Orientalistyczny	co-founder	1914		True	Windisch GSP	in der mit von ihm gegründeten Zeitschrift Rocznik Oryentalistyczny (Polnisches Archiv für Orientalistik), Erster Teil, Krakau 1914-1915
Angelo De Gubernatis	founded	Giornale della Società Asiatica Italiana		1887		True	Windisch GSP	mit dem "Giornale della Società Asiatica Italiana", deren erster Band Firenze 1887 erschien
Angelo De Gubernatis	founded	Museo Indiano		1886		True	Windisch GSP	daß er nicht nur das Museo Indiano, sondern auch die Società Asiatica Italiana in Florenz gründete
Angelo De Gubernatis	founded	Società Asiatica Italiana		1886		True	Windisch GSP	daß er nicht nur das Museo Indiano, sondern auch die Società Asiatica Italiana in Florenz gründete
August Wilhelm von Schlegel	founded	Indische Bibliothek		1820		True	Windisch GSP	in der von A. W. Schlegel 1820 gegründeten Zeitschrift "Indische Bibliothek"
David Hare	founded	Hindu College, Calcutta		1816		True	Windisch GSP	Hindū Mahā-vidyālaya ... 1816 in Calcutta aus Beiträgen der Eingeborenen selbst entstanden durch die Bemühungen von Sir E. H. East, David Hare, Rāja Rām Mohun Roy
Edward Hyde East	founded	Hindu College, Calcutta		1816		True	Windisch GSP	Hindū Mahā-vidyālaya ... 1816 in Calcutta aus Beiträgen der Eingeborenen selbst entstanden durch die Bemühungen von Sir E. H. East, David Hare, Rāja Rām Mohun Roy
Georg Bühler	founded	Grundriss der Indo-Arischen Philologie und Altertumskunde				True	Windisch GSP	GRUNDRISS DER INDO-ARISCHEN PHILOLOGIE UND ALTERTUMSKUNDE (ENCYCLOPEDIA OF INDO-ARYAN RESEARCH) BEGRÜNDET VON G. BÜHLER
Georg Curtius	founded	Studien zur griechischen und lateinischen Grammatik				True	Windisch GSP	in einer Erklärung, die Curtius in Band IX der von ihm gegründeten, dann mit Brugmann zusammen herausgegebenen "Studien zur griechischen und lateinischen Grammatik", S. 468, erließ.
Graziadio Isaia Ascoli	founded	Archivio Glottologico Italiano				True	Windisch GSP	das von ihm gegründete Archivio Glottologico Italiano
Heinrich Ewald	founded	Zeitschrift für die Kunde des Morgenlandes		1837		True	Windisch GSP	die hauptsächlich von Ewald angeregte Gründung der "Zeitschrift für die Kunde des Morgenlandes", deren erstes Heft Göttingen 1837 erschien
Hermann Brockhaus	founded	Deutsche Morgenländische Gesellschaft				True	Windisch GSP	Brockhaus gehörte zu den Gründern der Deutschen Morgenländischen Gesellschaft, deren Zeitschrift er in den Jahren 1852 bis 1865 redigiert hat.
Hermann Osthoff	founded	Morphologische Untersuchungen auf dem Gebiete der indogermanischen Sprachen		1878	1881	True	Windisch GSP	gründeten sie die "Morphologischen Untersuchungen auf dem Gebiete der indogermanischen Sprachen", von denen vier Teile erschienen sind, Leipzig 1878-1881.
James Dowling Herbert	founded	Gleanings in Science		1829		True	Windisch GSP	der 1829 von Major Herbert gegründeten und von Prinsep übernommenen Zeitschrift "Gleanings in Science"
John Muir	founded	University of Edinburgh				True	Windisch GSP	Muir stiftete die Professur für Sanskrit in Edinburgh, deren erster Inhaber Aufrecht wurde.
Jonathan Duncan	founded	Benares Sanskrit College		1791		True	Windisch GSP	das "Sanskrit College", gegründet von J. Duncan 1791 in Benares
Karl Brugmann	founded	Morphologische Untersuchungen auf dem Gebiete der indogermanischen Sprachen		1878	1881	True	Windisch GSP	gründeten sie die "Morphologischen Untersuchungen auf dem Gebiete der indogermanischen Sprachen", von denen vier Teile erschienen sind, Leipzig 1878-1881.
Keshub Chunder Sen	founded	Brahmo Samaj of India	Begründer			True	Winternitz GIL 2	der im Jahre 1884 verstorbene Keshub Chunder Sen, der Begründer des »Brahmo Samaj of India«
Louis-Mathieu Langlès	founded	École des Langues Orientales Vivantes		1794		True	Windisch GSP	Infolge einer 1790 von ihm bei der Assemblée nationale eingereichten Adresse wurde 1794 die École des langues orientales vivantes gegründet.
Max Koch	founded	Zeitschrift für vergleichende Litteraturgeschichte	Begründer			True	Winternitz GIL 3	Max Koch, der Begründer der »Zeitschrift für vergleichende Litteraturgeschichte«
Monier Monier-Williams	founded	Indian Institute, Oxford		1883		True	Windisch GSP	Er gründete in Oxford das Indian Institute (S. 364)
Othmar Frank	founded	Vyāsa, Über Philosophie, Mythologie, Literatur und Sprache der Hindu		1826		True	Windisch GSP	läßt die von ihm gegründete Zeitschrift vermuten: "Vyāsa, Über Philosophie, Mythologie, Literatur und Sprache der Hindu"
Ram Mohan Roy	founded	Brahmo Samaj				True	Windisch GSP; Winternitz GIL 3	der Begründer des Brahma-Samāja
Ram Mohan Roy	founded	Hindu College, Calcutta		1816		True	Windisch GSP	Hindū Mahā-vidyālaya ... 1816 in Calcutta aus Beiträgen der Eingeborenen selbst entstanden durch die Bemühungen von Sir E. H. East, David Hare, Rāja Rām Mohun Roy
Roberto de Nobili	founded	Madurai Mission		1620		True	Windisch GSP	Er hat um 1620 die "Madura mission" gegründet
Theodor Aufrecht	founded	Zeitschrift für vergleichende Sprachforschung				True	Windisch GSP	und im Verein mit A. Kuhn die Zeitschrift für Vergleichende Sprachforschung gegründet
Theodor Benfey	founded	Göttingen School of Comparative Linguistics				True	Windisch GSP	und die Göttinger Schule der vergleichenden Sprachwissenschaft gegründet.
Theodor Benfey	founded	Orient und Occident		1862	1864	True	Windisch GSP	In den Jahren 1862 bis 1864 gab Benfey die Vierteljahrschrift "Orient und Occident" heraus, die schon mit Heft III des dritten Bandes wieder aufhörte.
Theodor Goldstücker	founded	Sanskrit Text Society				True	Windisch GSP	die Publikationen der von ihm gegründeten Sanskrit Text Society unter dem Titel Auctores Sanscriti
Thomas William Rhys Davids	founded	Pali Text Society		1882		True	Winternitz GIL 1	die im Jahre 1882 von T. W. Rhys Davids begründete »Pāli Text Society«
Warren Hastings	founded	Calcutta Madrasa		1781		True	Windisch GSP	"the Madrassa or Arabic College", gegründet von Warren Hastings 1781 in Calcutta
William Jones	founded	Asiatic Society of Bengal		1784		True	Windisch GSP; Winternitz GIL 1	Dieser geistvolle, vielseitige Mann war der Gründer der Asiatick Society in Calcutta
